                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79801,                 3.7987,                 1.0185,                 0.0039,                0.76127,                0.25823,                 0.2213,                0.70356,                    3.7,                0.81038,             0.00017776,             0.00017776,             0.00017776
                      2,                0.78587,                 1.9272,                0.95508,                0.00609,                0.84558,                0.56256,                0.45501,                0.73865,                 3.2347,                 0.8287,             0.00034243,             0.00034243,             0.00034243
                      3,                0.75518,                 1.3081,                0.94766,                      1,                0.14827,                0.65446,                  0.544,                0.77851,                 3.0702,                 0.8335,             0.00048217,             0.00048217,             0.00048217
                      4,                0.73475,                 1.1509,                 0.9203,                      1,                0.23934,                0.79046,                0.63868,                0.81974,                 2.7227,                0.86617,             0.00059698,             0.00059698,             0.00059698
                      5,                0.75667,                  1.013,                0.93912,                0.95746,                0.67235,                0.87429,                0.71265,                0.80309,                  1.794,                0.86602,             0.00068686,             0.00068686,             0.00068686
                      6,                0.75844,                 1.1256,                0.91441,                0.88997,                0.64863,                0.77681,                0.61102,                0.89382,                 1.8169,                0.89409,             0.00074437,             0.00074437,             0.00074437
                      7,                0.70148,                0.99358,                0.89462,                0.89985,                0.87613,                0.89023,                0.69695,                0.83668,                  1.028,                0.86504,             0.00067104,             0.00067104,             0.00067104
                      8,                0.68309,                0.90116,                0.87802,                 0.9371,                0.81471,                0.90705,                0.74064,                0.75791,                0.91402,                0.86568,             0.00059772,             0.00059772,             0.00059772
                      9,                0.65091,                0.84291,                0.87286,                0.91473,                0.86743,                0.91724,                0.77162,                0.71759,                0.84586,                0.84292,             0.00052439,             0.00052439,             0.00052439
                     10,                0.57516,                0.78892,                0.85782,                 0.9235,                0.91369,                0.93098,                0.78742,                0.66386,                0.69635,                0.83372,             0.00045107,             0.00045107,             0.00045107
                     11,                0.65433,                  0.784,                0.85606,                0.92231,                0.89341,                0.94287,                0.79959,                0.66351,                0.72996,                0.84008,             0.00037774,             0.00037774,             0.00037774
                     12,                0.52923,                 0.6596,                0.82254,                0.94947,                0.90689,                0.94194,                0.81787,                0.62715,                0.55341,                0.82772,             0.00030441,             0.00030441,             0.00030441
                     13,                0.50849,                0.63025,                0.84821,                0.94387,                0.91225,                0.94681,                0.82011,                  0.589,                0.54182,                0.82572,             0.00023109,             0.00023109,             0.00023109
                     14,                 0.4847,                0.57509,                0.83044,                0.96569,                 0.9193,                0.94912,                0.84291,                0.54756,                 0.5134,                 0.8203,             0.00015776,             0.00015776,             0.00015776
                     15,                0.46481,                0.54394,                0.84374,                0.96618,                0.90753,                0.94771,                0.84278,                0.51978,                0.49516,                0.81622,             8.4436e-05,             8.4436e-05,             8.4436e-05
